===============================================================================
Id,accdaily1,len,datetime,open,high,low,close,volume,openinterest,MovingAverage,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
1,accdaily1,1,2018-01-02 23:59:59.999989,1736.2,1745.8,1725.0,1743.2,277110.0,,MovingAverage,1,736696.9999999999,Broker,1,1000000.0,1000000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,Trades - Net Profit/Loss,1,,,DrawDown,1,0.0,0.0,BuySell,1,,
2,accdaily1,2,2018-01-03 23:59:59.999989,1741.1,1780.0,1740.1,1774.6,194666.0,,MovingAverage,2,736697.9999999999,Broker,2,1000000.0,1000000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,Trades - Net Profit/Loss,2,,,DrawDown,2,0.0,0.0,BuySell,2,,
3,accdaily1,3,2018-01-04 23:59:59.999989,1779.95,1808.0,1770.0,1801.35,278240.0,,MovingAverage,3,736698.9999999999,Broker,3,1000000.0,1000000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,Trades - Net Profit/Loss,3,,,DrawDown,3,0.0,0.0,BuySell,3,,
4,accdaily1,4,2018-01-05 23:59:59.999989,1801.1,1820.4,1795.6,1809.95,312489.0,,MovingAverage,4,736699.9999999999,Broker,4,1000000.0,1000000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,Trades - Net Profit/Loss,4,,,DrawDown,4,0.0,0.0,BuySell,4,,
5,accdaily1,5,2018-01-08 23:59:59.999989,1816.0,1827.95,1800.0,1825.0,189168.0,,MovingAverage,5,736702.9999999999,Broker,5,1000000.0,1000000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,Trades - Net Profit/Loss,5,,,DrawDown,5,0.0,0.0,BuySell,5,,
6,accdaily1,6,2018-01-09 23:59:59.999989,1823.0,1835.0,1793.9,1812.05,290610.0,,MovingAverage,6,736703.9999999999,Broker,6,1000000.0,1000000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,Trades - Net Profit/Loss,6,,,DrawDown,6,0.0,0.0,BuySell,6,,
7,accdaily1,7,2018-01-10 23:59:59.999989,1812.05,1823.0,1801.4,1816.55,175749.0,,MovingAverage,7,736704.9999999999,Broker,7,1000000.0,1000000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0,BuySell,7,,
8,accdaily1,8,2018-01-11 23:59:59.999989,1825.0,1825.05,1798.55,1802.1,138505.0,,MovingAverage,8,736705.9999999999,Broker,8,1000000.0,1000000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0,BuySell,8,,
9,accdaily1,9,2018-01-12 23:59:59.999989,1805.0,1820.0,1794.0,1804.95,191817.0,,MovingAverage,9,736706.9999999999,Broker,9,1000000.0,1000000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0,BuySell,9,,
10,accdaily1,10,2018-01-15 23:59:59.999989,1809.9,1834.45,1792.45,1830.0,269413.0,,MovingAverage,10,736709.9999999999,Broker,10,1000000.0,1000000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0,BuySell,10,,
