YYYYMMDD,OPEN,HIGH,LOW,CLOSE
2008-01-01,6138.6,6164.85,6110.5,6149.2
2008-01-02,6165.05,6196.65,6063.5,6176.25
2008-01-03,6168.85,6229.3,6138.45,6178.0
2008-01-04,6201.25,6298.95,6201.25,6263.15
2008-01-07,6207.1,6289.2,6202.05,6281.25
2008-01-08,6279.1,6356.2,6223.0,6287.25
2008-01-10,6293.2,6346.2,6143.5,6159.75
2008-01-11,6156.95,6223.45,6113.65,6221.4
2008-01-14,6200.1,6243.1,6172.2,6213.85
2008-01-15,6206.8,6259.35,6054.85,6061.25
2008-01-16,6006.85,6006.85,5826.9,5950.9
2008-01-17,5935.75,6012.3,5881.8,5902.45
2008-01-18,5913.2,5913.2,5681.15,5702.0
2008-01-21,5705.3,5705.3,4979.0,5216.15
2008-01-22,5208.8,5208.8,4450.15,4916.45
2008-01-23,5012.85,5326.45,4954.65,5214.45
2008-01-24,5203.4,5355.85,4996.45,5038.5
2008-01-25,5033.45,5397.65,5033.45,5384.2
2008-01-28,5295.0,5295.0,5071.6,5267.55
2008-01-29,5274.1,5390.65,5226.1,5275.1
2008-01-30,5283.75,5308.0,5143.1,5163.9
2008-01-31,5167.6,5251.45,5072.15,5169.55
2008-02-01,5185.2,5339.1,5093.8,5316.5
2008-02-04,5317.25,5544.7,5317.25,5474.05
2008-02-06,5363.25,5363.25,5259.55,5314.55
2008-02-07,5323.2,5341.25,5115.25,5128.95
2008-02-08,5133.25,5172.65,5035.9,5109.8
2008-02-11,5112.8,5112.8,4805.15,4843.85
2008-02-12,4897.35,4947.8,4821.8,4833.85
2008-02-13,4885.3,4985.05,4862.5,4952.25
2008-02-14,5013.25,5219.8,5013.25,5215.2
2008-02-15,5202.0,5314.85,5109.5,5288.0
2008-02-18,5302.9,5344.9,5224.45,5279.25
2008-02-19,5276.9,5367.8,5263.7,5265.0
2008-02-20,5237.4,5247.45,5116.9,5160.05
2008-02-21,5190.0,5240.3,5120.15,5208.6
2008-02-22,5191.8,5191.8,5094.9,5095.25
2008-02-25,5112.25,5210.7,5055.5,5191.95
2008-02-26,5200.7,5280.8,5200.7,5251.25
2008-02-27,5296.8,5367.85,5250.45,5254.6
2008-02-28,5238.0,5301.95,5227.45,5297.15
2008-02-29,5271.35,5271.35,5098.7,5188.65
2008-03-03,5111.75,5111.75,4936.35,4944.25
2008-03-04,4953.0,4974.5,4813.85,4879.3
2008-03-05,4859.1,4922.2,4847.95,4907.7
2008-03-07,4917.35,4917.35,4673.4,4746.65
2008-03-10,4717.5,4798.35,4621.2,4778.75
2008-03-11,4778.9,4881.7,4734.95,4869.95
2008-03-12,4954.25,5015.1,4884.7,4907.2
2008-03-13,4872.0,4872.0,4595.3,4607.75
2008-03-14,4646.15,4722.1,4608.4,4692.65
2008-03-17,4632.7,4632.7,4489.4,4524.3
2008-03-18,4497.75,4617.4,4475.0,4588.9
2008-03-19,4665.0,4715.55,4552.75,4587.75
2008-03-24,4573.95,4649.1,4540.25,4622.25
2008-03-25,4609.85,4895.5,4609.85,4894.4
2008-03-26,4877.5,4909.4,4809.65,4818.35
2008-03-27,4828.85,4862.95,4776.9,4843.15
2008-03-28,4830.25,4968.4,4797.65,4952.35
2008-03-31,4916.3,4916.3,4704.9,4707.35
2008-04-01,4760.7,4786.65,4629.55,4744.9
2008-04-02,4816.2,4915.5,4742.1,4743.8
2008-04-03,4756.65,4832.95,4740.3,4771.75
2008-04-04,4765.8,4791.05,4633.05,4655.9
2008-04-07,4647.0,4798.15,4644.45,4769.05
2008-04-08,4756.85,4768.6,4678.15,4702.7
2008-04-09,4708.35,4757.4,4668.4,4754.6
2008-04-10,4747.05,4798.95,4721.95,4724.55
2008-04-11,4733.0,4816.8,4727.5,4785.25
2008-04-15,4777.8,4916.5,4709.6,4895.45
2008-04-16,4879.65,4950.6,4874.9,4887.4
2008-04-17,4889.65,4984.5,4889.65,4956.65
2008-04-21,4998.7,5052.75,4998.7,5038.7
2008-04-22,5037.0,5074.15,4996.15,5050.65
2008-04-23,5071.5,5081.3,5003.85,5021.75
2008-04-24,5042.55,5070.0,4992.6,4992.6
2008-04-25,5012.35,5116.85,5012.35,5110.8
2008-04-28,5111.7,5145.1,5079.4,5096.6
2008-04-29,5090.45,5210.45,5084.8,5193.5
2008-04-30,5195.5,5230.65,5156.5,5157.8
2008-05-02,5208.35,5253.0,5197.8,5225.6
2008-05-05,5228.2,5254.4,5183.05,5192.6
2008-05-06,5186.8,5198.9,5111.15,5151.9
2008-05-07,5144.65,5158.3,5101.35,5136.95
2008-05-08,5105.9,5105.9,5062.55,5078.9
2008-05-09,5065.6,5087.6,4971.1,4972.9
2008-05-12,4962.9,5020.55,4914.8,5019.1
2008-05-13,5012.65,5065.3,4944.55,4946.5
2008-05-14,4941.3,5025.85,4934.35,5009.5
2008-05-15,5034.95,5117.85,5034.95,5115.9
2008-05-16,5115.25,5167.2,5106.65,5151.9
2008-05-20,5131.7,5141.75,5072.75,5104.65
2008-05-21,5092.15,5135.15,5052.05,5117.25
2008-05-22,5117.65,5117.65,5011.05,5029.3
2008-05-23,5025.45,5058.05,4941.35,4948.8
2008-05-26,4928.7,4928.7,4861.9,4885.1
2008-05-27,4897.2,4931.85,4846.8,4859.9
2008-05-28,4867.15,4926.05,4836.65,4923.25
2008-05-29,4918.35,4956.2,4803.8,4855.45
2008-05-30,4835.3,4908.25,4833.75,4869.1
2008-06-02,4870.1,4906.75,4713.65,4715.7
2008-06-03,4696.55,4724.2,4634.05,4720.15
2008-06-04,4723.75,4730.75,4566.85,4584.2
2008-06-05,4592.7,4689.95,4536.85,4670.15
2008-06-06,4676.95,4743.15,4614.55,4625.35
2008-06-09,4536.7,4536.7,4412.15,4519.15
2008-06-10,4482.4,4499.15,4370.0,4459.8
2008-06-11,4449.8,4540.7,4449.8,4534.2
2008-06-12,4466.85,4548.7,4394.65,4530.35
2008-06-13,4542.15,4562.0,4491.65,4515.2
2008-06-16,4517.1,4617.45,4517.1,4571.95
2008-06-17,4575.3,4663.6,4562.4,4662.8
2008-06-18,4665.55,4677.8,4570.55,4571.0
2008-06-20,4517.55,4529.1,4335.15,4354.3
2008-06-23,4307.6,4336.25,4226.2,4272.15
2008-06-25,4124.55,4264.35,4096.1,4253.7
2008-06-26,4252.65,4324.25,4230.5,4311.3
2008-06-27,4306.75,4306.75,4121.3,4123.55
2008-06-30,4138.15,4162.8,4022.6,4026.3
2008-07-01,4050.35,4074.0,3879.15,3884.6
2008-07-02,3896.75,4104.95,3848.75,4102.6
2008-07-03,4074.4,4074.4,3875.7,3918.25
2008-07-04,3911.35,4032.55,3897.05,4002.0
2008-07-07,4038.1,4114.3,4012.6,4025.9
2008-07-08,3942.25,4017.65,3898.2,3992.25
2008-07-09,3988.55,4168.95,3988.55,4165.05
2008-07-10,4155.55,4187.7,4110.7,4157.1
2008-07-11,4203.6,4203.6,4014.7,4060.55
2008-07-14,4012.35,4116.9,4010.0,4052.85
2008-07-15,3970.65,3970.65,3836.8,3837.7
2008-07-16,3861.1,3919.85,3790.75,3843.3
2008-07-17,3823.15,3965.2,3823.15,3953.1
2008-07-18,3983.15,4109.5,3927.65,4078.75
2008-07-21,4092.25,4167.55,4074.65,4158.4
2008-07-22,4159.5,4261.9,4154.4,4261.1
2008-07-23,4371.9,4491.25,4371.9,4481.45
2008-07-24,4476.8,4534.15,4386.3,4428.35
2008-07-25,4433.55,4433.55,4297.2,4320.65
2008-07-28,4311.85,4352.4,4303.05,4329.55
2008-07-29,4254.1,4279.05,4159.4,4178.05
2008-07-30,4189.85,4326.65,4189.85,4316.05
2008-07-31,4313.55,4341.65,4286.25,4321.8
2008-08-01,4332.95,4422.4,4237.55,4416.4
2008-08-04,4403.05,4435.05,4363.25,4386.5
2008-08-05,4395.35,4513.8,4376.0,4508.0
2008-08-06,4502.85,4615.45,4502.85,4515.65
2008-08-07,4512.65,4580.05,4494.95,4520.05
